"year","acres","farms","cropland","agland","pastureland"
1850,NA,NA,NA,11,NA
1860,NA,NA,NA,16,NA
1870,NA,NA,NA,18,NA
1880,NA,NA,NA,19,NA
1890,NA,NA,NA,21,NA
1900,NA,NA,NA,20,NA
1910,NA,6406200,NA,40,NA
1911,NA,6424600,NA,41,NA
1912,NA,6429900,NA,42,NA
1913,NA,6437200,NA,43,NA
1914,NA,6446800,NA,44,NA
1915,NA,6457700,NA,43,NA
1916,NA,6463300,NA,46,NA
1917,NA,6477600,NA,49,NA
1918,NA,6487500,NA,53,NA
1919,NA,6506000,NA,58,NA
1920,NA,6517500,NA,69,NA
1921,NA,6510700,NA,65,NA
1922,NA,6499600,NA,57,NA
1923,NA,6491800,NA,56,NA
1924,NA,6480100,NA,54,NA
1925,NA,6470600,NA,54,NA
1926,NA,6461600,NA,52,NA
1927,NA,6458100,NA,50,NA
1928,NA,6469700,NA,49,NA
1929,NA,6511600,NA,49,NA
1930,NA,6545600,NA,49,NA
1931,NA,6608500,NA,44,NA
1932,NA,6686750,NA,37,NA
1933,NA,6740750,NA,30,NA
1934,NA,6775900,NA,31,NA
1935,NA,6813700,NA,32,NA
1936,NA,6739150,NA,32,NA
1937,NA,6635850,NA,33,NA
1938,NA,6526700,NA,33,NA
1939,NA,6440900,NA,32,NA
1940,NA,6349800,NA,32,NA
1941,NA,6293250,NA,32,NA
1942,NA,6201800,NA,34,NA
1943,NA,6089000,NA,38,NA
1944,NA,6003400,NA,43,NA
1945,NA,5966750,NA,47,NA
1946,NA,5925650,NA,53,NA
1947,NA,5870950,NA,60,NA
1948,NA,5803000,NA,64,NA
1949,NA,5722250,NA,66,NA
1950,1202019000,5647800,NA,65,NA
1951,1203500000,5427600,NA,74,NA
1952,1204930000,5197500,NA,82,NA
1953,1205740000,4983600,NA,83,NA
1954,1206355000,4798200,NA,82,NA
1955,1201900000,4653800,NA,85,NA
1956,1197070000,4514100,NA,90,NA
1957,1191340000,4371700,NA,97,NA
1958,1184944000,4232900,NA,103,NA
1959,1182563000,4104520,NA,111,NA
1960,1175646000,3962520,NA,117,NA
1961,1167699000,3825410,NA,119,NA
1962,1159383000,3692410,NA,125,NA
1963,1151572000,3572200,NA,130,NA
1964,1146106000,3456690,NA,138,NA
1965,1139597000,3356170,NA,147,NA
1966,1131844000,3257040,NA,158,NA
1967,1123456000,3161730,NA,168,NA
1968,1115231000,3070860,NA,179,NA
1969,1107811000,3000180,NA,189,NA
1970,1102371000,2949140,NA,196,NA
1971,1096863000,2902310,NA,203,NA
1972,1092065000,2859880,NA,219,NA
1973,1087923000,2823260,NA,246,NA
1974,1084433000,2795460,NA,302,NA
1975,1059420000,2521420,NA,340,NA
1976,1054075000,2497270,NA,397,NA
1977,1047785000,2455830,NA,474,NA
1978,1044790000,2436250,NA,531,NA
1979,1042015000,2437300,NA,628,NA
1980,1038885000,2439510,NA,737,NA
1981,1034190000,2439920,NA,819,NA
1982,1027795000,2406550,NA,823,NA
1983,1023425000,2378620,NA,788,NA
1984,1017803000,2333810,NA,801,NA
1985,1012073000,2292530,NA,713,NA
1986,1005333000,2249820,NA,640,NA
1987,998923000,2212960,NA,599,NA
1988,994423000,2200940,NA,632,NA
1989,990723000,2174520,NA,668,NA
1990,986850000,2145820,NA,683,NA
1991,981736000,2116760,NA,703,NA
1992,978503000,2107840,NA,713,NA
1993,968845000,2201590,NA,736,NA
1994,965935000,2197690,NA,798,NA
1995,962515000,2196400,NA,844,NA
1996,958675000,2190500,NA,887,NA
1997,956010000,2190510,1270,926,466
1998,952080000,2192330,1340,974,489
1999,948460000,2187280,1400,1030,509
2000,945080000,2166780,1460,1090,531
2001,942070000,2148630,1510,1150,557
2002,940300000,2135360,1590,1210,577
2003,936750000,2126860,1660,1270,605
2004,932260000,2112970,1750,1340,630
2005,927940000,2098690,2060,1610,740
2006,925790000,2088790,2300,1830,960
2007,921460000,2204950,2530,2010,1030
2008,918600000,2184500,2760,2170,1090
2009,917590000,2169660,2640,2090,1060
2010,915660000,2149520,2700,2150,1060
2011,914420000,2131240,2980,2300,1070
2012,914600000,2109810,3350,2520,1110
2013,911720000,2100350,3810,2730,1170
2014,908920000,2082440,4090,2940,1290
2015,905790000,2063890,4100,3000,1310
2016,902680000,2055340,4040,2990,1320
2017,900370000,2042000,4030,3030,1330
2018,899500000,2029200,4050,3100,1370
2019,NA,NA,4100,3160,1400
